date,nav,bench
2020-04-01,99.99999999999999,100.0
2020-04-02,102.0502319584202,102.28293472348714
2020-04-03,99.61513787711317,100.73466514243069
2020-04-06,108.10305312082613,107.81946697594111
2020-04-07,107.64027583082097,107.64662667918942
2020-04-08,111.73417022597545,111.31268894834041
2020-04-09,111.42327702150928,112.92532152841024
2020-04-13,111.1362394719188,111.78424945608177
2020-04-14,115.1952523439806,115.20178338772516
2020-04-15,114.7584677230193,112.6638375803228
2020-04-16,117.0219350496138,113.3191681371433
2020-04-17,118.52608893851857,116.35539601674762
2020-04-20,117.78710402578153,114.27483959155535
2020-04-21,114.31883317556333,110.76948223411253
2020-04-22,117.22221159290623,113.30945389976725
2020-04-23,116.55175397622503,113.2483322739577
2020-04-24,118.48276207095554,114.82452905219085
2020-04-27,119.79269773861361,116.51406518796803
2020-04-28,119.34037257387325,115.90325410152298
2020-04-29,122.96324991065292,118.98441650538858
2020-04-30,121.61755829874544,117.88827895732139
2020-05-01,115.55360595335367,114.58044772060312
2020-05-04,116.29043215624158,115.06739486882715
2020-05-05,118.77198926472533,116.10766814030559
2020-05-06,118.79200200443388,115.29730507488362
2020-05-07,120.29698198705123,116.62375800065776
2020-05-08,123.38394972452849,118.59138023995648
2020-05-11,123.89540746659972,118.60716216985428
2020-05-12,122.43644256126493,116.17567768417325
2020-05-13,121.78172869390136,114.14693381906498
2020-05-14,123.83289006830385,115.46245699251163
2020-05-15,123.19043610149308,115.91580454045234
2020-05-18,125.27143458109816,119.56729051242156
2020-05-19,125.13571793977921,118.31369930808542
2020-05-20,126.81184477173734,120.28375257728699
2020-05-21,125.78404379976214,119.34871523034305
2020-05-22,125.01763937655362,119.62962765318255
2020-05-26,126.66110465406909,121.09977816358024
2020-05-27,128.06327396039006,122.89536056719288
2020-05-28,127.23869976593491,122.6363076490083
2020-05-29,130.24134965891812,123.22647474574985
2020-06-01,130.83755307868392,123.68872618776562
2020-06-02,131.27425467763754,124.70431363527119
2020-06-03,133.1536234282767,126.40640020997773
2020-06-04,130.80414041107886,125.98057468756325
2020-06-05,132.9249702672567,129.28273352117486
2020-06-08,133.22704778457944,130.83950182465594
2020-06-09,132.73694507472632,129.81906219958003
2020-06-10,133.26069353902088,129.12932169917525
2020-06-11,125.90514300952094,121.51791530687109
2020-06-12,127.67986359006784,123.1050418374317
2020-06-15,129.26814435504747,124.12831766406092
2020-06-16,130.8108818543438,126.48208825073365
2020-06-17,131.36864037117454,126.02671484454058
2020-06-18,130.89571705473315,126.10160242423092
2020-06-19,131.48258826886473,125.38919207587027
2020-06-22,131.71431807907808,126.20360685779701
2020-06-23,132.54651297285574,126.74721874367536
2020-06-24,128.7406203652304,123.47015090568712
2020-06-25,129.48246760062733,124.82331551368651
2020-06-26,126.9531865424467,121.79923290136105
2020-06-29,127.39194166004934,123.58793726915098
2020-06-30,128.6885297814559,125.49241202438776
2020-07-01,129.88503698870633,126.1226515855849
2020-07-02,130.3968657185201,126.69540618359139
2020-07-06,133.03985411004277,128.70754789326554
2020-07-07,132.088801902857,127.31512116411152
2020-07-08,133.18119898994058,128.3116754262801
2020-07-09,133.72077443744857,127.5875348645264
2020-07-10,133.865493890419,128.92289168437563
2020-07-13,131.50913957142626,127.71584580866728
2020-07-14,133.58103868837225,129.42805179240034
2020-07-15,135.71623498022956,130.6035239260777
2020-07-16,134.7549481954715,130.15867510056162
2020-07-17,135.64246369219543,130.52944668968834
2020-07-20,137.40363819240034,131.62679975270694
2020-07-21,137.5494188723275,131.84780606468834
2020-07-22,139.26736307889607,132.60554622672535
2020-07-23,137.78770923160928,130.97186448530155
2020-07-24,134.56323083201573,130.16109624822911
2020-07-27,137.4829923284087,131.12365562069925
2020-07-28,137.0837895882957,130.2748407774236
2020-07-29,139.4505162665655,131.89394622166566
2020-07-30,139.9940372654005,131.39931069431796
2020-07-31,141.44941151968447,132.40720976269986
2020-08-03,143.7613648621544,133.3580290395416
2020-08-04,144.28086719031967,133.83970895630947
2020-08-05,143.39092956528685,134.7002638952135
2020-08-06,142.20217077150974,135.5660761833384
2020-08-07,142.4402473555958,135.6518935153562
2020-08-10,141.74388671085924,136.02388061943432
2020-08-11,141.68716943945992,134.93988833864603
2020-08-12,143.67609157071277,136.828581163985
2020-08-13,143.18930550049754,136.5484692022111
2020-08-14,143.36057314291938,136.52499889318963
2020-08-17,144.91416471756162,136.89496013901538
2020-08-18,144.42665948328013,137.21028250543918
2020-08-19,143.57267422700966,136.60595416540173
2020-08-20,142.51291300053845,137.0374422086875
2020-08-21,142.70049760699817,137.50900271642885
2020-08-24,143.57452123472765,138.8901044038403
2020-08-25,144.27280616519374,139.38960199099373
2020-08-26,144.1177113854792,140.8107662606254
2020-08-27,143.24887143297403,141.04634886978852
2020-08-28,143.91482866062586,141.99595263167882
2020-08-31,143.05706198232238,141.68427681010928
2020-09-01,144.16266449094817,142.75045142051204
2020-09-02,146.29583965316567,144.94394203159786
2020-09-03,141.18178928975303,139.85266377631046
2020-09-04,138.30014318579646,138.71523824883627
2020-09-08,133.27952138019577,134.86501064119105
2020-09-09,134.8223040421794,137.5818644378668
2020-09-10,132.89754149048073,135.1625153372293
2020-09-11,132.16132019994302,135.23456671536633
2020-09-14,134.78463524558322,136.95770245142685
2020-09-15,136.42200126487552,137.67253394745498
2020-09-16,135.20538286956062,137.03663186538657
2020-09-17,134.1236882141497,135.88382957966505
2020-09-18,132.6756040935938,134.3642975390862
2020-09-21,132.34592044534105,132.8095550938575
2020-09-22,133.92114379671776,134.20643871116678
2020-09-23,132.5675618312711,131.0228667020846
2020-09-24,132.57327698205907,131.41429216315018
2020-09-25,133.90614903579285,133.51386200920868
2020-09-28,136.05007153838096,135.66484912593603
2020-09-29,135.35928068487203,135.01193971678305
2020-09-30,135.81687098873118,136.1262902246509
2020-10-01,137.9875249297153,136.84679412378566
2020-10-02,135.77822737780352,135.53612312790932
2020-10-05,138.72194986613567,137.97207438398098
2020-10-06,137.92477619874364,136.04411943748735
2020-10-07,138.51007043749465,138.41084563473993
2020-10-08,141.01413822844822,139.51953362173649
2020-10-09,142.5701642142673,140.74640326161202
2020-10-12,144.17424964231222,143.05686989286076
2020-10-13,144.17833826709526,142.15462180289921
2020-10-14,143.12606418234543,141.21311159178305
2020-10-15,142.51802181673062,140.99737251125782
2020-10-16,141.70721694013932,141.01639581435944
2020-10-19,139.2436753278494,138.71361756223436
2020-10-20,139.24433383924952,139.3693631729407
2020-10-21,137.8140338421267,139.06334987224247
2020-10-22,137.14520359203564,139.78911112059805
2020-10-23,136.75444554776362,140.27079103736594
2020-10-26,134.87318749609577,137.6632248817294
2020-10-27,133.7346506568924,137.24670842504048
2020-10-28,130.6038224031376,132.4035632178456
2020-10-29,134.32914122065623,133.98543239918538
2020-10-30,133.42575992107393,132.3602493801862
2020-11-02,136.346199820127,133.9906897484062
2020-11-03,141.38226200815984,136.37562890545942
2020-11-04,145.51199916923454,139.38230890128517
2020-11-05,148.23136947714636,142.0947156920411
2020-11-06,149.58049604495523,142.05383288428456
2020-11-09,151.66268896165155,143.71584699453553
2020-11-10,149.15504144273842,143.5146743289567
2020-11-11,151.54439359583512,144.61282785304087
2020-11-12,149.5878727218567,143.1698040787543
2020-11-13,153.64306411651762,145.11839313271605
2020-11-16,156.96173754528002,146.80873961179418
2020-11-17,157.62526535595595,146.10524303974398
2020-11-18,155.97682778010633,144.41570690396682
2020-11-19,157.89996384908198,144.98563518265533
2020-11-20,158.88712215132315,144.00081113387978
2020-11-23,161.44454635027256,144.8123897142532
2020-11-24,162.8426927586214,147.1527995186956
2020-11-25,161.5902137917346,146.91964793943532
2020-11-27,162.7489375231233,147.27181127934628
2020-11-30,162.80306207424695,146.59501650728598
2020-12-01,164.65388824038453,148.2473163801609
2020-12-02,164.66128550745358,148.5128520447531
2020-12-03,165.70999937993543,148.42015667691257
2020-12-04,167.78640003024222,149.73163801608987
2020-12-07,168.78398052399177,149.4418118169399
2020-12-08,169.83690278530605,149.8583282736288
2020-12-09,167.18769956729076,148.66707421005364
2020-12-10,167.19751362927263,148.47602095350132
2020-12-11,166.84233015173913,148.28819918791743
2020-12-14,167.4571520516406,147.64177252517203
2020-12-15,169.377051255206,149.54948865361263
2020-12-16,170.39675650605076,149.81460926431896
2020-12-17,171.15813557457685,150.67719006147541
2020-12-18,172.5079776544606,150.1481445905434
2020-12-21,171.5109155518621,149.56162403865613
2020-12-22,172.23064582483306,149.2515689036885
2020-12-23,171.10340839425916,149.36288240298018
2020-12-24,172.14906827628857,149.8911175306112
2020-12-28,172.26962705373867,151.19854715328376
2020-12-29,171.4943698800996,150.86177045385548
2020-12-30,173.40845386726124,151.06415863438576
2020-12-31,174.28504837281253,152.03683741588242
2021-01-04,172.07788217088938,149.793560102965
2021-01-05,174.57198678824608,150.85448724638232
2021-01-06,176.1575759988894,151.71584264635197
2021-01-07,181.7686910636881,153.96842902499495
2021-01-08,184.80404205966815,154.81400249506677
2021-01-11,184.0913456277654,153.79923527309757
2021-01-12,184.42522359697213,153.86318321822506
2021-01-13,183.54346161038805,154.21332069988364
2021-01-14,184.53165870843557,153.63448852712
2021-01-15,183.89388856057093,152.5298522566282
2021-01-19,186.49727280390374,153.770893022035
2021-01-20,188.3326147048787,155.91378658798826
2021-01-21,187.84175730289977,155.9631681181694
2021-01-22,187.62957245850708,155.49362358644504
2021-01-25,188.35208530770197,156.05586348600994
2021-01-26,185.8315705723849,155.82352225005062
2021-01-27,179.411690366395,151.82230396807327
2021-01-28,182.0230619836967,153.304184691864
2021-01-29,180.40509291546917,150.34365473525096
2021-02-01,185.0120885787905,152.75693614336672
2021-02-02,188.767999147896,154.87998618068204
2021-02-03,186.16075235648046,155.03622432199958
2021-02-04,187.54968970690982,156.71888242195408
2021-02-05,187.20257901096303,157.32969350839912
2021-02-08,190.62675189512134,158.49383071809856
2021-02-09,191.9034152855305,158.3173438764926
2021-02-10,191.4946012996351,158.2626951148553
2021-02-11,194.22973998709875,158.5257997495446
2021-02-12,196.197335192236,159.27262004148957
2021-02-16,195.783563022323,159.18195053190144
2021-02-17,194.6766941523456,159.13094831511842
2021-02-18,194.09698744660574,158.42825220413377
2021-02-19,193.9492907464824,158.13438417071444
2021-02-22,189.1179034696388,156.91155636510828
2021-02-23,187.96777254760838,157.10868719641772
2021-02-24,188.0633173682738,158.89212433275145
2021-02-25,180.84284308567013,155.00263460395163
2021-02-26,182.3702023150868,154.26633889268368
2021-03-01,186.3254576345965,157.9364528783394
2021-03-02,183.27917100066213,156.66019182604737
2021-03-03,179.36012015375076,154.61323500113843
2021-03-04,174.1203535427113,152.53875615070328
2021-03-05,178.01294909153725,155.51264688954666
2021-03-08,173.93502132822667,154.6792186867537
2021-03-09,179.39819531528465,156.86864769909937
2021-03-10,176.4121297333112,157.81461479837077
2021-03-11,180.79081352086834,159.4551745756173
2021-03-12,179.9781399890153,159.61708512004148
2021-03-15,182.35591987751337,160.6533066750152
2021-03-16,182.66510416522289,160.40113179265333
2021-03-17,182.76242645479596,160.862987945254
2021-03-18,178.1476924136436,158.48856348664236
2021-03-19,180.6713786945648,158.3930417994839
2021-03-22,182.7749677221787,159.50577162074987
2021-03-23,180.1261381734115,158.288606336015
2021-03-24,179.17016478718904,157.4231893373052
2021-03-25,179.4946770336473,158.24812869990893
2021-03-26,185.3498659678951,160.87998539010323
2021-03-29,183.59747456664013,160.74033952198442
2021-03-30,183.14995872011428,160.2327483840569
2021-03-31,185.69088682027325,160.81319136118702
2021-04-01,190.3173550037182,162.71483979710587
2021-04-05,192.23849749470014,165.06415349562334
2021-04-06,190.87478340533883,164.90345846615057
2021-04-07,189.4425992825545,165.14672945443735
2021-04-08,190.5271144635242,165.84375316231532
2021-04-09,191.58671262866102,167.12405604887675
2021-04-12,191.45843088849406,167.0912865563651
2021-04-13,192.7760842809654,167.6417665958308
2021-04-14,192.32092558983913,166.95649286581664
2021-04-15,195.00174057086429,168.8087400070836
2021-04-16,194.92586636115414,169.41794028916212
2021-04-19,193.64940255826497,168.51891380793361
2021-04-20,192.31203928422704,167.37259426861974
2021-04-21,195.4333978453616,168.93017291540173
2021-04-22,194.92529963628627,167.37421495522162
2021-04-23,197.50742324503403,169.20339695911758
2021-04-26,198.75632265505905,169.50496325389597
2021-04-27,195.58888753459922,169.46853733429467
2021-04-28,195.26977044844656,169.3252449213216
2021-04-29,194.86898240676703,170.47035882791945
2021-04-30,191.7964337872192,169.24387459522364
2021-05-03,190.98073162017863,169.70897212102813
2021-05-04,191.74191406857847,168.5755983100587
2021-05-05,192.87105571628587,168.69418513458814
2021-05-06,193.8821961282958,170.07165015938068
2021-05-07,195.7342069495572,171.32564653536733
2021-05-10,192.00275995068029,169.53775251087836
2021-05-11,191.07311682089977,168.0671968288302
2021-05-12,185.24979229503325,164.46225618548877
2021-05-13,187.2033011655881,166.4642784861364
2021-05-14,191.28864219983924,168.94758541413682
2021-05-17,190.40434533391903,168.52013920512042
2021-05-18,189.6164412886459,167.0848038099575
2021-05-19,191.31842503019513,166.59300448416312
2021-05-20,195.65020599308426,168.3513506248735
2021-05-21,195.5401443137405,168.21938325364297
2021-05-24,197.02155605748052,169.88665471311475
2021-05-25,197.38840832396136,169.5255973613641
2021-05-26,197.94186493779983,169.84376581157662
2021-05-27,198.29577966958806,170.04168722171624
2021-05-28,199.4657962514115,170.17242919575997
2021-06-01,198.01654606874862,170.0886476042299
2021-06-02,198.0220195782815,170.33475479407002
2021-06-03,196.93884350552634,169.7166605001518
2021-06-04,198.4567045451393,171.2159537226776
2021-06-07,197.88007450098777,171.07953934552722
2021-06-08,197.89996594841236,171.1094825187209
2021-06-09,197.40038295843587,170.7974015255009
2021-06-10,199.7025219195865,171.59199254326046
2021-06-11,200.37835688161778,171.92632833055052
2021-06-14,201.37303105109257,172.2384093237705
2021-06-15,200.5241529403029,171.8919183869662
2021-06-16,199.7962712570594,170.96539952691762
2021-06-17,200.81085237690843,170.89090723664236
2021-06-18,197.01630070501434,168.64805485984618
2021-06-21,200.20938562146102,171.00951382564259
2021-06-22,200.07152137006216,171.88585069444443
2021-06-23,199.6907125586089,171.69964961546245
2021-06-24,202.0778075004042,172.69743915705322
2021-06-25,202.50245694245984,173.27262478496255
2021-06-28,203.72686265495014,173.67374471893342
2021-06-29,204.62957944864038,173.72191073416312
2021-06-30,203.14768844750168,173.95264116575592
2021-07-01,204.0198816316865,174.86095694823922
2021-07-02,204.2022013219424,176.17242840518114
2021-07-06,205.11501248176324,175.8162331132362
2021-07-07,204.24874171828435,176.40679549939284
2021-07-08,202.43846747322698,174.89657252453955
2021-07-09,205.3014028635387,176.8690469414086
2021-07-12,205.4370568840098,177.47945285620318
2021-07-13,204.2041387592777,176.85529086976322
2021-07-14,203.79180696840584,177.06131571291237
2021-07-15,203.11157796894062,176.48369905510017
2021-07-16,201.16275259596276,175.15321417729203
2021-07-19,200.16111636849126,172.37361806820482
2021-07-20,203.20467033257378,174.98725191636308
2021-07-21,205.61982964810284,176.42946534734872
2021-07-22,206.2826714566976,176.78526534987859
2021-07-23,207.75175344729695,178.5788317774742
2021-07-26,205.16230785402735,179.00424224600283
2021-07-27,203.112371568234,178.16069463418336
2021-07-28,206.05797582450896,178.12751008778588
