ticker,shares,last_price,value
MELI,0.008030513925666687,2280.860107421875,18.316478855148983
RYAAY,0.36975428505768376,47.2400016784668,17.467193046745273
PANW,0.09181017767809636,186.64999389648438,17.136369103251834
FRHC,0.1185328658545361,144.39999389648438,17.116145105927814
OMAB,0.2040272734158983,83.88578033447266,17.11498704000744
FTNT,0.1627518004911544,104.20999908447266,16.960364980179477
BKNG,0.0034065206486983053,4900.76953125,16.69457260271464
ZM,0.21236938289092847,77.55000305175781,16.469246291291427
WIX,0.09588987755381065,169.97999572753906,16.29936097691098
NTES,0.15370001208310116,105.33588409423828,16.190126658068568
CCEP,0.18187663936654627,88.01852416992188,16.008513378028518
QLYS,0.12440632593494862,128.42999267578125,15.977503528646306
PYPL,0.24009944311040424,66.31999969482422,15.923394993809474
NICE,0.10161827105806893,156.67999267578125,15.921549965103795
KLAC,0.023151487093388424,684.8074951171875,15.854311884661222
DOCU,0.1924630020795902,82.2699966430664,15.833930535002368
MEDP,0.05141779689987248,306.3500061035156,15.75184239410526
SYF,0.2988716040306444,51.913814544677734,15.515565024317231
UTHR,0.050820674153457826,300.760009765625,15.284826454689622
ADBE,0.040848144116020474,370.9800109863281,15.15384495293239
QCOM,0.10260137191847776,146.00296020507812,14.98010402119993
PDD,0.13237421939113567,104.1500015258789,13.786775151573808
