date,ticker,price,fcfps_ttm,p_to_fcf,quarter_end
2022-09-30,AAPL,138.2,6.913995842656233,19.988441292858234,2022-09-30
2022-09-30,AAPL,138.2,6.913995842656233,19.988441292858234,2022-12-31
2022-11-09,AAPL,134.87,6.913995842656233,19.50680953088126,2022-12-31
2022-12-15,AAPL,136.5,6.913995842656233,19.74256321617329,2022-12-31
2022-12-16,AAPL,134.51,6.913995842656233,19.45474123228915,2022-12-31
2022-12-19,AAPL,132.37,6.913995842656233,19.14522412399164,2022-12-31
2022-12-20,AAPL,132.3,6.913995842656233,19.13509973259873,2022-12-31
2022-12-21,AAPL,135.45,6.913995842656233,19.59069734527965,2022-12-31
2022-12-22,AAPL,132.23,6.913995842656233,19.12497534120582,2022-12-31
2022-12-23,AAPL,131.86,6.913995842656233,19.071460700986158,2022-12-31
2022-12-27,AAPL,130.03,6.913995842656233,18.806780183142955,2022-12-31
2022-12-28,AAPL,126.04,6.913995842656233,18.22968987374712,2022-12-31
2022-12-29,AAPL,129.61,6.913995842656233,18.7460338347855,2022-12-31
2022-12-30,AAPL,129.93,6.913995842656233,18.79231676686737,2022-12-31
2020-01-02,ABBV,89.55,8.589105581708138,10.425998277481991,2020-03-31
2020-01-03,ABBV,88.7,8.589105581708138,10.327035703100533,2020-03-31
2020-01-06,ABBV,89.4,8.589105581708138,10.408534293767616,2020-03-31
2020-01-07,ABBV,88.89,8.589105581708138,10.349156749138741,2020-03-31
2020-01-08,ABBV,89.52,8.589105581708138,10.422505480739115,2020-03-31
2020-01-09,ABBV,90.21,8.589105581708138,10.502839805825241,2020-03-31
2020-01-10,ABBV,89.06,8.589105581708138,10.368949264015033,2020-03-31
2020-01-13,ABBV,88.52,8.589105581708138,10.30607892264328,2020-03-31
2020-01-14,ABBV,88.2,8.589105581708138,10.268822424052615,2020-03-31
2020-01-15,ABBV,89.26,8.589105581708138,10.3922345756342,2020-03-31
2020-01-16,ABBV,89.26,8.589105581708138,10.3922345756342,2020-03-31
2020-01-17,ABBV,88.0,8.589105581708138,10.245537112433448,2020-03-31
2020-01-21,ABBV,87.99,8.589105581708138,10.244372846852489,2020-03-31
2020-01-22,ABBV,87.21,8.589105581708138,10.153560131537738,2020-03-31
2020-01-23,ABBV,85.27,8.589105581708138,9.92769260883182,2020-03-31
2020-01-24,ABBV,83.54,8.589105581708138,9.726274663326025,2020-03-31
2020-01-27,ABBV,84.02,8.589105581708138,9.782159411212024,2020-03-31
2020-01-28,ABBV,83.77,8.589105581708138,9.753052771688067,2020-03-31
2020-01-29,ABBV,83.2,8.589105581708138,9.686689633573442,2020-03-31
2020-01-30,ABBV,81.78,8.589105581708138,9.521363921077356,2020-03-31
2020-01-31,ABBV,81.02,8.589105581708138,9.432879736924521,2020-03-31
2020-02-03,ABBV,82.3,8.589105581708138,9.58190573128719,2020-03-31
2020-02-04,ABBV,84.36,8.589105581708138,9.82174444096461,2020-03-31
